username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
beenysl,https://www.tiktok.com/@beenysl,0,0,0,0,0,0,0,0,0,0
masprikl.md,https://www.tiktok.com/@masprikl.md,0,0,0,0,0,0,0,0,0,0
danibrenes35,https://www.tiktok.com/@danibrenes35,0,0,0,0,0,0,0,0,0,0
hooligan_24k,https://www.tiktok.com/@hooligan_24k,0,0,0,0,0,0,0,0,0,0
morpheuszer0,https://www.tiktok.com/@morpheuszer0,0,0,0,0,0,0,0,0,0,0
jebandotcom,https://www.tiktok.com/@jebandotcom,0,0,0,0,0,0,0,0,0,0
its_just_lyd,https://www.tiktok.com/@its_just_lyd,0,0,0,0,0,0,0,0,0,0
kimberlychia,https://www.tiktok.com/@kimberlychia,0,0,0,0,0,0,0,0,0,0
vanilaearlgrey,https://www.tiktok.com/@vanilaearlgrey,0,0,0,0,0,0,0,0,0,0
ellaebin,https://www.tiktok.com/@ellaebin,0,0,0,0,0,0,0,0,0,0
maryjflair,https://www.tiktok.com/@maryjflair,0,0,0,0,0,0,0,0,0,0
fynnyff,https://www.tiktok.com/@fynnyff,0,0,0,0,0,0,0,0,0,0
zuiki_italia,https://www.tiktok.com/@zuiki_italia,0,0,0,0,0,0,0,0,0,0
to.stylee,https://www.tiktok.com/@to.stylee,0,0,0,0,0,0,0,0,0,0
azee.ztt,https://www.tiktok.com/@azee.ztt,0,0,0,0,0,0,0,0,0,0
demurevibess,https://www.tiktok.com/@demurevibess,0,0,0,0,0,0,0,0,0,0
annabelle.london,https://www.tiktok.com/@annabelle.london,0,0,0,0,0,0,0,0,0,0
susmita_404,https://www.tiktok.com/@susmita_404,0,0,0,0,0,0,0,0,0,0
suey325,https://www.tiktok.com/@suey325,0,0,0,0,0,0,0,0,0,0
diaxmate,https://www.tiktok.com/@diaxmate,0,0,0,0,0,0,0,0,0,0
okeraduncan,https://www.tiktok.com/@okeraduncan,0,0,0,0,0,0,0,0,0,0
dromhuset1,https://www.tiktok.com/@dromhuset1,0,0,0,0,0,0,0,0,0,0
medleyjewellery,https://www.tiktok.com/@medleyjewellery,0,0,0,0,0,0,0,0,0,0
poppulse11,https://www.tiktok.com/@poppulse11,0,0,0,0,0,0,0,0,0,0
skaina.private,https://www.tiktok.com/@skaina.private,0,0,0,0,0,0,0,0,0,0
taketwolondon,https://www.tiktok.com/@taketwolondon,0,0,0,0,0,0,0,0,0,0
nari.mariofficial,https://www.tiktok.com/@nari.mariofficial,0,0,0,0,0,0,0,0,0,0
kuikiarie,https://www.tiktok.com/@kuikiarie,0,0,0,0,0,0,0,0,0,0
kyliegarbourg,https://www.tiktok.com/@kyliegarbourg,0,0,0,0,0,0,0,0,0,0
melina.dahal,https://www.tiktok.com/@melina.dahal,0,0,0,0,0,0,0,0,0,0
