username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
_vincealarcon,https://www.tiktok.com/@_vincealarcon,375100,385900,15200000,10000,397100,4800000,263100,2300000,3000000,1100000
abqariyyahha,https://www.tiktok.com/@abqariyyahha,4100000,1800000,214900,155300,626000,768500,52900,235300,110300,366300
manicaqueenmoney,https://www.tiktok.com/@manicaqueenmoney,3700000,1600000,1200000,1800000,88600,400600,65400,215600,493900,106600
mattstonie,https://www.tiktok.com/@mattstonie,38400000,58200000,63100000,90100,456300,482900,2000000,709500,9700000,732300
stxph.h,https://www.tiktok.com/@stxph.h,46000,137600,227700,48100,382800,482100,83800,875900,192200,273600
nofreeadi10,https://www.tiktok.com/@nofreeadi10,6800000,1300000,14800000,44000,22200,35300,10200,10100,12500,10500
cettaenglish,https://www.tiktok.com/@cettaenglish,392,443,2700000,1100,725,1259,6641,7579,1206,524
autumn.hoon,https://www.tiktok.com/@autumn.hoon,1400000,2200000,5385,605,6377,504600,2705,1639,5179,19400
chananya_official,https://www.tiktok.com/@chananya_official,372200,252600,711800,3613,21500,1800,4088,1840,2166,1928
honeylinprofugo,https://www.tiktok.com/@honeylinprofugo,8200000,2900000,1600000,10600,1117,11800,6807,2935,3421,2990
dxands,https://www.tiktok.com/@dxands,494800,765600,712,1132,5717,25400,10300,3812,3083,10300
threeshester,https://www.tiktok.com/@threeshester,5316,9632,36700,20100,2400000,395200,24600,95600,215700,1000000
beenysl,https://www.tiktok.com/@beenysl,2606,518,4577,230800,117700,99300,2908,38300,1828,972
masprikl.md,https://www.tiktok.com/@masprikl.md,798,446,2376,307,398,236,296,1405,554,397
danibrenes35,https://www.tiktok.com/@danibrenes35,429,3773,21700,1992,3261,35900,30600,39100000,59000,160400
hooligan_24k,https://www.tiktok.com/@hooligan_24k,457000,10800000,33000,231,156800,85400,37700,373200,7521,6280
morpheuszer0,https://www.tiktok.com/@morpheuszer0,1600000,3900000,2300000,330,92,335,282,858,7406,237
jebandotcom,https://www.tiktok.com/@jebandotcom,4800000,2600000,2400000,1660,1081,1864,1027,1105,11900,889
its_just_lyd,https://www.tiktok.com/@its_just_lyd,1100000,6100000,374,897,14900,519,1250,350,610,557
kimberlychia,https://www.tiktok.com/@kimberlychia,1200000,205300,112100,3331,63300,20800,15600,21400,981000,18100
vanilaearlgrey,https://www.tiktok.com/@vanilaearlgrey,431,874,1344,570,413,750,477,426,461,275
ellaebin,https://www.tiktok.com/@ellaebin,753900,368700,176000,655,7771,697,967,866,28700,8673
maryjflair,https://www.tiktok.com/@maryjflair,188000,4415,2943,582,217,693,1062,1341,259,261
fynnyff,https://www.tiktok.com/@fynnyff,70600,9586,440100,320,476,213,231,24900,158,167
zuiki_italia,https://www.tiktok.com/@zuiki_italia,67000,293200,118000,1023,4570,10100,1121,3284,4056,50600
to.stylee,https://www.tiktok.com/@to.stylee,834,571,509,1183,1443,867,752,779,619,1588
azee.ztt,https://www.tiktok.com/@azee.ztt,2733,1297,1043,1855,1700,2408,1990,5436,1741,1954
demurevibess,https://www.tiktok.com/@demurevibess,315000,7543,2227,60200,2875,2172,1680,8423,1655,1254
annabelle.london,https://www.tiktok.com/@annabelle.london,46400,3657,10200,321,350,563,562,390,513,489
susmita_404,https://www.tiktok.com/@susmita_404,35400,26600,6281,1517,960,17600,1173,643,1245,741
suey325,https://www.tiktok.com/@suey325,189,212,239,223,351,255,249,378,296,315
diaxmate,https://www.tiktok.com/@diaxmate,254400,471200,7900000,24500,621400,142500,59800,485200,294400,3400000
okeraduncan,https://www.tiktok.com/@okeraduncan,65000,108,201,731,211,820,225,517,810,349
dromhuset1,https://www.tiktok.com/@dromhuset1,37300,18100,21100,815,745,2900,961,930,1571,766
medleyjewellery,https://www.tiktok.com/@medleyjewellery,5000000,2100000,12600000,741,826,484,578,732,84,694
poppulse11,https://www.tiktok.com/@poppulse11,1483,1012,131,219,73,309,1053,124,38,122
skaina.private,https://www.tiktok.com/@skaina.private,214700,22800,819,858,1772,3333,1031,2253,1409,0
taketwolondon,https://www.tiktok.com/@taketwolondon,294500,13100,6265,10900,8824,10200,12700,8706,8219,14100
nari.mariofficial,https://www.tiktok.com/@nari.mariofficial,580,461,485,415,175,232,446,416,435,735
kuikiarie,https://www.tiktok.com/@kuikiarie,1019,1274,1656,1732,1041,2654,3194,2760,2192,2777
kyliegarbourg,https://www.tiktok.com/@kyliegarbourg,3300000,5000000,2728,80700,4617,5019,27400,8742,18200,19000
melina.dahal,https://www.tiktok.com/@melina.dahal,167,356,176,404,342,487,391,393,328,358
